area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
48113,1,92213,77,0,2015,A,,1,210,23176276,0,0,2120,110232,,0.4,0.88,0.73,0,0,0.82,0.82,,-1,-50,-19,-8.3,-1242017,-5.1,0,0,0,0,71,3.5,3679,3.5
48113,1,922130,78,0,2015,A,,1,210,23176276,0,0,2120,110232,,0.4,0.88,0.73,0,0,0.82,0.82,,-1,-50,-19,-8.3,-1242017,-5.1,0,0,0,0,71,3.5,3679,3.5
48113,1,92214,77,0,2015,A,,3,927,71900138,0,0,1491,77527,,2.9,2.13,1.91,0,0,0.89,0.89,,0,0,3,0.3,87161,0.1,0,0,0,0,-3,-0.2,-186,-0.2
48113,1,922140,78,0,2015,A,,3,927,71900138,0,0,1491,77527,,2.9,2.13,1.91,0,0,0.89,0.89,,0,0,3,0.3,87161,0.1,0,0,0,0,-3,-0.2,-186,-0.2
48113,1,92219,77,0,2015,A,,2,57,5487766,0,0,1851,96277,,0.39,0.23,0.2,0,0,0.84,0.84,,0,0,1,1.8,416908,8.2,0,0,0,0,115,6.6,5995,6.6
48113,1,922190,78,0,2015,A,,2,57,5487766,0,0,1851,96277,,0.39,0.23,0.2,0,0,0.84,0.84,,0,0,1,1.8,416908,8.2,0,0,0,0,115,6.6,5995,6.6
48113,1,923,75,0,2015,A,,23,1793,161753349,0,0,1735,90205,,1.14,0.86,0.74,0,0,0.86,0.86,,0,0,184,11.4,15901584,10.9,0,0,0,0,-9,-0.5,-461,-0.5
48113,1,9231,76,0,2015,A,,23,1793,161753349,0,0,1735,90205,,1.14,0.86,0.74,0,0,0.86,0.86,,0,0,184,11.4,15901584,10.9,0,0,0,0,-9,-0.5,-461,-0.5
48113,1,92311,77,0,2015,A,,3,118,12117986,0,0,1971,102478,,3.8,2.22,1.78,0,0,0.8,0.8,,0,0,0,0,254991,2.1,0,0,0,0,39,2,2015,2
48113,1,923110,78,0,2015,A,,3,118,12117986,0,0,1971,102478,,3.8,2.22,1.78,0,0,0.8,0.8,,0,0,0,0,254991,2.1,0,0,0,0,39,2,2015,2
48113,1,92312,77,0,2015,A,,9,265,25552172,0,0,1858,96606,,1.97,0.4,0.32,0,0,0.81,0.81,,0,0,6,2.3,1885134,8,0,0,0,0,101,5.7,5227,5.7
48113,1,923120,78,0,2015,A,,9,265,25552172,0,0,1858,96606,,1.97,0.4,0.32,0,0,0.81,0.81,,0,0,6,2.3,1885134,8,0,0,0,0,101,5.7,5227,5.7
48113,1,92313,77,0,2015,A,,9,1302,114787360,0,0,1695,88162,,0.76,1.54,1.41,0,0,0.92,0.92,,0,0,136,11.7,10866120,10.5,0,0,0,0,-19,-1.1,-977,-1.1
48113,1,923130,78,0,2015,A,,9,1302,114787360,0,0,1695,88162,,0.76,1.54,1.41,0,0,0.92,0.92,,0,0,136,11.7,10866120,10.5,0,0,0,0,-19,-1.1,-977,-1.1
48113,1,92314,77,0,2015,A,,2,108,9295831,0,0,1649,85742,,0.67,0.2,0.18,0,0,0.88,0.88,,0,0,42,63.6,2895339,45.2,0,0,0,0,-223,-11.9,-11604,-11.9
48113,1,923140,78,0,2015,A,,2,108,9295831,0,0,1649,85742,,0.67,0.2,0.18,0,0,0.88,0.88,,0,0,42,63.6,2895339,45.2,0,0,0,0,-223,-11.9,-11604,-11.9
48113,1,924,75,0,2015,A,,3,714,76370280,0,0,2057,106961,,0.07,0.63,0.7,0,0,1.12,1.12,,0,0,-21,-2.9,625876,0.8,0,0,0,0,75,3.8,3884,3.8
48113,1,9241,76,0,2015,A,,3,714,76370280,0,0,2057,106961,,0.07,0.63,0.7,0,0,1.12,1.12,,0,0,-21,-2.9,625876,0.8,0,0,0,0,75,3.8,3884,3.8
48113,1,92411,77,0,2015,A,,1,712,76149956,0,0,2058,107027,,0.46,3.62,2.92,0,0,0.81,0.81,,0,0,-20,-2.7,647509,0.9,0,0,0,0,74,3.7,3835,3.7
48113,1,924110,78,0,2015,A,,1,712,76149956,0,0,2058,107027,,0.46,3.62,2.92,0,0,0.81,0.81,,0,0,-20,-2.7,647509,0.9,0,0,0,0,74,3.7,3835,3.7
48113,1,92412,77,0,2015,A,,2,3,220324,0,0,1695,88130,,0.05,0,0,0,0,1,1,,0,0,0,0,-21633,-8.9,0,0,0,0,226,15.4,11723,15.3
48113,1,924120,78,0,2015,A,,2,3,220324,0,0,1695,88130,,0.05,0,0,0,0,1,1,,0,0,0,0,-21633,-8.9,0,0,0,0,226,15.4,11723,15.3
